ETOH_feed,Solvent_flowrate,Solvent_T,Reflux_ratio1,reflux_ratio2,Purity,Q_R1,Q_R2,QC1,QC2,QC3
0.83055,51.13,50.83,1.234166667,2.875833333,0.93342698,8239.00078,4054.4355,-6806.38695,-3497.88016,-1387.10894
0.880903333,99.71,31.67,1.484166667,2.555833333,0.982466069,10301.369,4044.43799,-7518.66262,-3211.28713,-2996.80476
0.891996667,92.52333333,57.83,2.310833333,0.7775,0.993170199,12236.7756,2405.61387,-10005.7621,-1611.82146,-2401.08856
0.916003333,89.63,49.59,1.0275,2.534166667,0.999950517,8141.03366,4304.60337,-6121.5228,-3273.39549,-2448.57912
0.884976667,71.47666667,41.17,1.4825,0.935833333,0.986400489,9486.29004,2437.43872,-7509.53782,-1749.95821,-2043.42141
0.89139,51.31666667,52.79,1.4075,2.529166667,0.992584984,8718.35085,3742.98858,-7276.38554,-3185.11981,-1376.39966
0.818763333,58.92333333,48.93,0.934166667,1.0075,0.92183839,7504.66391,2423.29935,-5901.4051,-1813.32332,-1614.72888
0.837483333,92.89666667,39.37,0.6775,1.1975,0.940221876,7591.72088,2787.12068,-5105.97222,-1987.48657,-2681.32649
0.857676667,53.88333333,50.69,1.049166667,2.2925,0.95993872,7718.35788,3548.00261,-6220.98306,-2971.70471,-1462.85859
0.85941,45.25,55.23,0.840833333,1.419166667,0.961624728,6883.26152,2695.24412,-5587.26468,-2183.66334,-1196.08997
0.887663333,63.03,49.35,2.849166667,0.804166667,0.988993827,13347.7119,2266.67642,-11639.4683,-1630.76576,-1722.22885
0.92467,101.9966667,55.59,2.020833333,1.7375,0.99996972,11190.7248,3754.55127,-9120.54729,-2531.28743,-2690.12158
0.852043333,80.29666667,54.05,1.660833333,1.5925,0.954451607,10091.3498,3079.76859,-8083.79746,-2341.77697,-2136.76773
0.805503333,107.0833333,52.77,1.434166667,2.810833333,0.908751752,10041.017,4306.60991,-7439.73752,-3441.6543,-2871.79276
0.832196667,97.93666667,56.79,1.6125,1.8175,0.935042643,10299.0158,3370.24956,-7957.29069,-2545.80255,-2563.81145
0.864956667,99.33666667,33.35,1.554166667,1.479166667,0.967017025,10488.8697,3071.28905,-7746.7497,-2241.39421,-2958.77067
0.928916667,65.36333333,39.09,2.844166667,1.8975,0.999481891,13162.5683,3610.64027,-11607.159,-2669.50588,-1891.53414
0.805416667,68.81666667,59.35,2.6025,1.844166667,0.908666261,12706.0482,3241.40845,-11010.7247,-2567.95364,-1774.24524
0.916696667,88.09,52.01,0.765833333,2.920833333,0.999933015,7278.22434,4659.69296,-5331.54764,-3630.89101,-2373.3929
0.87657,54.07,43.43,1.5175,2.9825,0.978275677,9192.60417,4171.91994,-7623.91739,-3594.18252,-1528.83438
0.90933,63.68333333,47.61,1.9375,2.2575,0.999598183,10468.0955,3776.03382,-8869.41796,-3011.02891,-1759.43446
